indx;name;lat;lon
29566;Шумиха;55.95;92.3
29576;Уяр;55.8;94.33
29578;Шалинское;55.71;93.75
29587;Ирбейское;55.63;95.46
29590;Новочунка;56.13;99.31
29594;Тайшет;55.95;98
29602;Чаны;55.28;76.76
29613;Убинское;55.3;79.61
29624;Каргат;55.23;80.31
29625;Чулым;55.1;80.96
29626;Коченево;55.03;82.18
29630;Толмачево;55;82.66
29631;Колывань;55.3;82.75
29632;Мошково;55.3;83.6
29635;Обская Гмо;54.8;82.95
29636;Тогучин;55.23;84.4
29638;Огурцово;54.9;82.95
29642;Кемерово I;55.38;86.06
29649;Крапивино;55;86.8
29654;Центр.Рудник;55.21;87.65
29662;Балахта;55.38;91.6
29664;Светлолобово;55.1;90.83
29676;Агинское;55.25;94.88
29702;Чистоозерное;54.7;76.56
29708;Баган;54.1;77.66
29712;Здвинск;54.7;78.66
29716;Довольное;54.48;79.66
29722;Ужаниха;54.66;81.06
29724;Кочки;54.3;80.5
29726;Ордынское;54.36;81.95
29730;Искитим;54.65;83.31
29735;Посевная;54.3;83.38
29736;Маслянино;54.33;84.21
29741;Красное;54.6;85.38
29745;Белово;54.3;85.93
29749;Киселевск;54.03;86.65
29756;Шира;54.5;89.93
29759;Коммунар;54.33;89.28
29766;Идринское;54.36;92.13
29772;Артемовск;54.51;93.38
29789;Верхняя Гутара;54.21;96.96
29813;Красноозерск;53.96;79.23
29814;Карасук;53.7;78.06
29823;Сузун;53.76;82.31
29849;Кузедеево;53.33;87.16
29854;Междуреченск;53.63;88.15
29858;Неожиданный;53.28;89.06
29869;Ермаковское;53.3;92.41
29870;Курагино;53.89;92.68
29874;Каратузское;53.6;92.85
29876;Казыр;53.68;94.16
29894;Алыгджер;53.63;98.21
29946;Кондома;52.83;87.26
29955;Усть-Кабырза;52.83;88.43
29956;Таштып;52.8;89.91
29961;Аскиз;53.13;90.48
29962;Бея;53.05;90.91
29963;Черемушки;53.05;91.46
30014;Чемдальск;59.63;103.31
30157;Мама;58.31;112.86
30230;Киренск;57.76;108.11
30317;Заярск;56.2;102.85
30323;Усть-Кут;56.8;105.8
30337;Казачинское;56.28;107.56
30356;Таксимо;56.38;114.83
30374;Большая Лепринда;56.65;117.62
30379;Катугино;56.05;119.13
30433;Нижнеангарск;55.78;109.55
30461;Тилишма;55.85;115.47
30469;Калакан;55.11;116.75
30471;Средний Калар;55.86;117.37
30484;Средняя Олекма;55.41;120.55
30497;Лопча;55.76;122.66
30499;Тында;55.18;124.66
30504;Тулун;54.6;100.63
30514;Усть-Уда;54.41;103.25
30526;Тырка;54.48;107.06
30537;Солнечная;54.03;108.26
30547;Курумкан;54.27;110.27
30549;Карафтит;54.2;111.95
30554;Багдарин;54.46;113.58
30565;Усть-Каренга;54.43;116.53
30567;Хулугли;54.03;115.01
30576;Тупик;54.43;119.9
30606;Залари;53.55;102.5
30612;Балаганск;53.71;103.33
30617;Черемхово;53.2;103.01
30618;Бохан;53.13;103.76
30622;Качуг;53.96;105.86
30627;Баяндай;53.1;105.53
30635;Усть-Баргузин;53.43;108.98
30636;Баргузин;53.61;109.62
30649;Усть-Заза;53.21;111.68
30651;Усть-Антосе;53.98;113.2
30655;Юмурчен;53.62;114.05
30667;Кыкер;53.17;115.82
30673;Могоча;53.73;119.78
30675;Ксеньевская;53.55;118.71
30682;Амазар;53.86;120.86
30683;Ерофей Павлович;53.96;121.93
30688;Покровка;53.34;121.55
30692;Сковородино;54;123.96
30695;Джалинда;53.46;123.9
30703;Инга;52.96;101.98
